2026/08/24 02:07:08 [warn] 508#508: *2438144 a client request body is buffered to a temporary file /tmp/nginx/body/9/03/0001193039, client: 157.245.66.179, server: databasus.calpolynglab.com, request: "POST / HTTP/1.1", host: "databasus.calpolynglab.com", referrer: "https://databasus.calpolynglab.com/"
2026/08/24 02:09:05 [warn] 508#508: *2438147 a client request body is buffered to a temporary file /tmp/nginx/body/0/04/0001193040, client: 165.22.35.3, server: databasus.calpolynglab.com, request: "POST / HTTP/1.1", host: "databasus.calpolynglab.com", referrer: "https://databasus.calpolynglab.com/"
2026/08/25 04:16:52 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /wp-content/plugins/hellopress/wp_filemanager.php HTTP/1.1", upstream: "http://2.0.0.100:4005/wp-content/plugins/hellopress/wp_filemanager.php", host: "databasus.calpolynglab.com"
2026/08/25 04:16:52 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /this_is_a_new_hello_world.php HTTP/1.1", upstream: "http://2.0.0.100:4005/this_is_a_new_hello_world.php", host: "databasus.calpolynglab.com"
2026/08/25 04:16:52 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /domvf.php HTTP/1.1", upstream: "http://2.0.0.100:4005/domvf.php", host: "databasus.calpolynglab.com"
2026/08/25 04:16:53 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /wp-0.php HTTP/1.1", upstream: "http://2.0.0.100:4005/wp-0.php", host: "databasus.calpolynglab.com"
2026/08/25 04:16:53 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /dyt8mjxc3yofbkoriukvgjaCdefault.php HTTP/1.1", upstream: "http://2.0.0.100:4005/dyt8mjxc3yofbkoriukvgjaCdefault.php", host: "databasus.calpolynglab.com"
2026/08/25 04:16:53 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /gec.php HTTP/1.1", upstream: "http://2.0.0.100:4005/gec.php", host: "databasus.calpolynglab.com"
2026/08/25 04:16:53 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /robots.php HTTP/1.1", upstream: "http://2.0.0.100:4005/robots.php", host: "databasus.calpolynglab.com"
2026/08/25 04:16:53 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /sky.php HTTP/1.1", upstream: "http://2.0.0.100:4005/sky.php", host: "databasus.calpolynglab.com"
2026/08/25 04:16:53 [error] 245#245: *42646 connect() failed (111: Connection refused) while connecting to upstream, client: 20.104.86.241, server: databasus.calpolynglab.com, request: "GET /sixxis.php HTTP/1.1", upstream: "http://2.0.0.100:4005/sixxis.php", host: "databasus.calpolynglab.com"
